title,abstract,year,authors,included
"The Brave New World of Ambient Intelligence: An Analysis of Scenarios Regarding Privacy, Identity and Security Issues","<p>The success of Ambient Intelligence (AmI) will depend on how secure it can be made, how privacy and other rights of individuals can be protected and how individuals can come to trust the intelligent world that surrounds them and through which they move. This contribution presents an analysis of ambient intelligence scenarios, particularly in regard to AmI&#39;s impacts on and implications for individual privacy. The analysis draws on our review of more than 70 AmI projects, principally in Europe. It notes the visions as well as the specifics of typical AmI scenarios. Several conclusions can be drawn from the analysis, not least of which is that most AmI scenarios depict a rather too sunny view of our technological future. Finally, reference is made to the SWAMI project (Safeguards in a World of Ambient Intelligence) which, inter alia, has constructed &#8221;dark&#8221; scenarios, as we term them, to show how things can go wrong in AmI and where safeguards are needed.</p>",2006,"Michael Friedewald, Elena Vildjiounaite, Yves Punie and David Wright",0
The Clients? Impact on Effort Estimation Accuracy in Software Development Projects,"This paper focuses on the clients' impact on estimation accuracy in software development projects. Client related factors contributing to effort overruns as well as factors preventing overruns are investigated. Based on a literature review and a survey of 300 software professionals we find that: 1) software professionals perceive that clients impact estimation accuracy. Changed and new requirements are perceived as the clients' most frequent contribution to overruns, while overruns are prevented by the availability of competent clients and capable decision makers. 2) Survey results should not be used in estimation accuracy improvement initiatives without further analysis. Surveys typically identify directly observable and project specific causes for overruns, while substantial improvement is only possible when the underlying causes are understood",2005,"By Stein Grimstad , Magne Jorgensen , Kjetil Molokken-Ostvold",0
The design of participatory agent-based social simulations.,"It is becoming widely accepted that applied social simulation research is more effective if potential users and stakeholders are closely involved in model specification, design, testing and use, using the principles of participatory research. In this paper, a review of software engineering principles and accounts of the development of simulation models are used as the basis for recommendations about some useful techniques that can aid in the development of agent-based social simulation models in conjunction with users. The authors' experience with scenario analysis, joint analysis of design workshops, prototyping and user panels in a collaborative participatory project is described and, in combination with reviews from other participatory projects, is used to suggest how these techniques might be used in simulation-based research.",2014,A. M. Ramanath and N. Gilbert.,0
The evolution of goal-based information modelling: Literature review,"Purpose
 The first in a series on goal?based information modelling, this paper presents a literature review of two goal?based measurement methods. The second article in the series will build on this background to present an overview of some recent case?based research that shows the applicability of the goal?based methods for information modelling (as opposed to measurement). The third and concluding article in the series will present a new goal?based information model  the goal?based information framework (GbIF)  that is well suited to the task of documenting and evaluating organisational information flow.

Design/methodology/approach
 Following a literature review of the goal?question?metric (GQM) and goal?question?indicator?measure (GQIM) methods, the paper presents the strengths and weaknesses of goal?based approaches.

Findings
 The literature indicates that the goal?based methods are both rigorous and adaptable. With over 20 years of use, goal?based methods have achieved demonstrable and quantifiable results in both practitioner and academic studies. The down side of the methods are the potential expense and the expansiveness of goal?based models. The overheads of managing the goal?based process, from early negotiations on objectives and goals to maintaining the model (adding new goals, questions and indicators), could make the method unwieldy and expensive for organisations with limited resources. An additional challenge identified in the literature is the narrow focus of top?down (i.e. goal?based) methods. Since the methods limit the focus to a pre?defined set of goals and questions, the opportunity for discovery of new information is limited.

Research limitations/implications
 Much of the previous work on goal?based methodologies has been confined to software measurement contexts in larger organisations with well?established information gathering processes. Although the next part of the series presents goal?based methods outside of this native context, and within low maturity organisations, further work needs to be done to understand the applicability of these methods in the information science discipline.

Originality/value
 This paper presents an overview of goal?based methods. The next article in the series will present the method outside the native context of software measurement. With the universality of the method established, information scientists will have a new tool to evaluate and document organisational information flow.",2011,"Boyd, A.J.",0
The Golden Age of Software Architecture: A Comprehensive Survey,"This retrospective on nearly two decades of software architecture research examines the maturation of the software architecture research area by tracing the evolution of research questions and results through their maturation cycle. We show how early qualitative results set the stage for later precision, formality, and automation, how results have built up over time, and how the research results have moved into practice.",2009,Mary Shaw and Paul Clements,0
The Need for a Paradigm Shift in Addressing Privacy Risks in Social Networking Applications,"Abstract New developments on the Internet in the past years have brought up a number of online social networking applications within the so-called Web 2.0 world that experienced phenomenal growth and a tremendous attention in the public. Online social networking services build their business model on the myriad of sensitive personal data provided freely by their users, a fact that is increasingly getting the attention of privacy advocates. After explaining the economic meaning and importance of online social networks to eCommerce in general and reiterating the basic principles of Web 2.0 environments and their enterprise mechanisms in particular, this paper addresses the main informational privacy risks of Web 2.0 business models with a focus on online social networking sites. From literature review and current expert discussions, new privacy research questions are proposed for the future development of privacyenhancing technologies used within Web 2.0 environments. The resulting paradigm shift needed in addressing privacy risks in social networking applications is likely to focus less on access protection, anonymity and unlinkability type of PET-solutions and more on privacy safeguarding measures that enable greater transparency and that directly attach context and purpose limitation to the personally identifiable data itself. The FIDIS/IFIP workshop discussion has resulted in the idea to combine existing privacy-enhancing technologies and protection methods with new safeguarding measures to accommodate the Web 2.0 dynamics and to enhance the informational privacy of Web 2.0 users.",2008,Stefan Weiss,0
Tightening knowledge sharing in distributed software communities by applying semantic technologies,This report describes the state of the research and practice in the areas of Knowledge Management in Software Engineering. Special emphasis is laid upon specific knowledge representation and reasoning requirements coming from the open-source communities and outsourced software development,2009,"Spyros Ntioudis, Walid Maalej, Hans-Joerg Happel, Dimitris Panagiotou",0
Tool integration in software engineering: The state of the art in 2004,"The aim of this paper is to identify and investigate previous research in the area of software engineering environments, and how tools are integrated to form such a facility, with the goal of identifying future research questions. The paper consists of an explanation of the method used to identify papers, with each placed in a candidate category. Each of the seven categories is examined in turn, with each paper in each category then reviewed, with any possible arising research questions identified by the author of this paper included. Also included in this review is a section that discusses additional material being papers that have been referenced more than once. The paper concludes by making summing up all the suggestions for further research that were identified in the reviewing of particular papers. Full references and a glossary of commonly used terms completes the paper.",2004,Mike Wicks,0
Towards management of software as assets: A literature review with additional sources.,"How should and how can software be managed? What is the management concept or paradigm? Software professionals, if they think about management of software at all, think in terms of Configuration Management. This is not a method for over-all software management; it merely controls software items' versions. This is much too fine a level of granularity. Management begins with accurate and timely information. Managers tend to view software as something (unfortunately) very necessary but troubling because, they have very little real information about it and control is still nebulous, at best. Accountants view software as an incomprehensible intangible, neither wholly an expense nor really an asset. They do not have, nor do they produce information concerning it. Their data concerning software barely touches on direct outlays and contains no element of effort. Part of this disorientation is the basic confusion between ''business software'' and ''engineering software''. This ''Gordian Knot'' must be opened; it needs to be made much more clear. This article shows a direction how such clarity may be achieved.",2008,M. Ben-Menachem.,0
Transformational Approaches to Model Driven Architecture - A Review,"The model driven architecture (MDA) has been widely used as a paradigm in software development. This paper presents an overview on the current research in the model driven architecture. We analyze the key concepts of the MDA by illustrative examples, explore the existing approaches and tools that support model transformation - the essential part of the MDA, and classify these methods based on a multidimensional scheme. Furthermore, this paper summarizes the current technical achievements of model transformation techniques in software development at different abstraction levels of a system.",2007,"By Chunying Zhao , Kang Zhang",0
Troubleshooting large-scale new product development embedded software projects,"<p>Many modern new product development (NPD) embedded software projects are required to be run under turbulent conditions. Both the business and the technological environments are often volatile. Uncertainty is then an inherent part of the project management. In such cases, traditional detailed up-front planning with supporting risk management is often inadequate, and more adaptive project management tools are needed. This industrial paper investigates the typical problem space of those embedded software projects. Based on a literature survey coupled with our practical experiences, we compose an extensive structured matrix of different potential project problem factors, and propose a method for assessing the project&#39;s problem profile with the matrix. The project manager can then utilize that information for problem-conscious project management. Some industrial case examples of telecommunications products embedded software development are illustrated.</p>",2006,"Kettunen, P.",0
What Architects Should Know About Reverse Engineering and Rengineering,"Architecture reconstruction is a form of reverse engineering that reconstructs architectural views from an existing system. It is often necessary because a complete and authentic architectural description is not available. This paper puts forward the goals of architecture reconstruction, revisits the technical difficulties we are facing in architecture reconstruction, and presents a summary of a literature survey about the types of architectural viewpoints addressed in reverse engineering research.",2005,By Rainer Koschke,0
A Comparison of Software Project Overruns-Flexible versus Sequential Development Models,"Flexible software development models, e.g., evolutionary and incremental models, have become increasingly popular. Advocates claim that among the benefits of using these models is reduced overruns, which is one of the main challenges of software project management. This paper describes an in-depth survey of software development projects. The results support the claim that projects which employ a flexible development model experience less effort overruns than do those which employ a sequential model. The reason for the difference is not obvious. We found, for example, no variation in project size, estimation process, or delivered proportion of planned functionality between projects applying different types of development model. When the managers were asked to provide reasons for software overruns and/or estimation accuracy, the largest difference was that more of flexible projects than sequential projects cited good requirement specifications-and good collaboration/communication with clients as contributing to accurate estimates.",2005,"By Kjetil Molokken-Ostvold , Magne Jorgensen",0
A meta-analysis of the technology acceptance model,"The paper will address issues related to 3D capture, documentation, storage and management of virtual replicas of museum objects for documentation purposes in view of their inclusion in Europeana. 3D cultural objects present a number of challenges concerning their management. The 3D-COFORM project will provide solutions aiming at making 3D documentation a common practice in the cultural heritage sector. This requires the definition of good practices for data acquisition and storage, together with the design of a novel documentation system for the acquisition and simplification procedures. In fact, these initial steps are often undocumented, and this makes the outcome unreliable for the strict criteria of heritage documentation. The following steps of storing, managing, searching and displaying 3D objects is still an uneasy process, and the project aims at providing state-of-the-art tools to improve the performance in all these stages. Finally, the project will address business processes, mainly through the design and start-up of a Virtual Competence Centre in order to provide guidance to cultural heritage institutions and practitioners wishing to incorporate 3D into their everyday practice.",2010,"William R. King, Jun He",0
A Probabilistic Model for Predicting Software Development Effort,"Recently, Bayesian probabilistic models have been used for predicting software development effort. One of the reasons for the interest in the use of Bayesian probabilistic models, when compared to traditional point forecast estimation models, is that Bayesian models provide tools for risk estimation and allow decision-makers to combine historical data with subjective expert estimates. In this paper, we use a Bayesian network model and illustrate how a belief updating procedure can be used to incorporate decision-making risks. We develop a causal model from the literature and, using a data set of 33 real-world software projects, we illustrate how decision-making risks can be incorporated in the Bayesian networks. We compare the predictive performance of the Bayesian model with popular nonparametric neural-network and regression tree forecasting models and show that the Bayesian model is a competitive model for forecasting software development effort.",2005,"By Parag C. Pendharkar , Girish H. Subramanian , James A. Rodger",0
A survey of literature on the teaching of introductory programming,"This paper reports the authors' experiences in teaching introductory programming for engineers in an interactive classroom.. The authors describe how the course has evolved from the traditional course, the structure of the classroom, the choice of software, and the elements involving interactive, active, and collaborative learning. They discuss their strategy for assessment. They describe the assessment results including a retrospective assessment of the previous course. They suggest how the course relates to the nontraditional student. They conclude with some suggestions for future modifications",2001,"Arnold Pears, Stephen Seidman, Lauri Malmi, Linda Mannila, Elizabeth Adams, Jens Bennedsen, Marie Devlin, James Paterson",0
"A Survey on Hair Modeling: Styling, Simulation, and Rendering","Realistic hair modeling is a fundamental part of creating virtual humans in computer graphics. This paper surveys the state of the art in the major topics of hair modeling: hairstyling, hair simulation, and hair rendering. Because of the difficult, often unsolved problems that arise in alt these areas, a broad diversity of approaches is used, each with strengths that make it appropriate for particular applications. We discuss each of these major topics in turn, presenting the unique challenges facing each area and describing solutions that have been presented over the years to handle these complex issues. Finally, we outline some of the remaining computational challenges in hair modeling",2007,"By Kelly Ward , Florence Bertails , Tae-Yong Kim , Stephen R. Marschner , Marie-Paule Cani , Ming C. Lin",0
An assessment of systems and software engineering scholars and institutions (1999-2003),"This paper presents the findings of a five-year study of the top scholars and institutions in the Systems and Software Engineering field, as measured by the quantity of papers published in the journals of the field. The top scholar is Khaled El Emam of the Canadian National Research Council, and the top institution is Carnegie Mellon University and its Software Engineering Institute.

This paper is part of an ongoing study, conducted annually, that identifies the top 15 scholars and institutions in the most recent five-year period.",2004,"Robert L. Glass, T. Y. Chen",0
An Empirical Analysis of the Impact of Software Vulnerability Announcements on Firm Stock Price,"Security defects in software cost millions of dollars to firms in terms of downtime, disruptions, and confidentiality breaches. However, the economic implications of these defects for software vendors are not well understood. Lack of legal liability and the presence of switching costs and network externalities may protect software vendors from incurring significant costs in the event of a vulnerability announcement, unlike such industries as auto and pharmaceuticals, which have been known to suffer significant loss in market value in the event of a defect announcement. Although research in software economics has studied firms' incentives to improve overall quality, there have not been any studies which show that software vendors have an incentive to invest in building more secure software. The objectives of this paper are twofold. 1) We examine how a software vendor's market value changes when a vulnerability is announced. 2) We examine how firm and vulnerability characteristics mediate the change in the market value of a vendor. We collect data from leading national newspapers and industry sources, such as the Computer Emergency Response Team (CERT), by searching for reports on published software vulnerabilities. We show that vulnerability announcements lead to a negative and significant change in a software vendor's market value. In our sample, on average, a vendor loses around 0.6 percent value in stock price when a vulnerability is reported. We find that a software vendor loses more market share if the market is competitive or if the vendor is small. To provide further insight, we use the information content of the disclosure announcement to classify vulnerabilities into various types. We find that the change in stock price is more negative if the vendor fails to provide a patch at the time of disclosure. Also, more severe flaws have a significantly greater impact. Our analysis provides many interesting implications for software vendors as well as policy make- rs.",2007,"By Rahul Telang , Sunil Wattal",0
Applications of agent technology in communications: a review.,"Distance education that transmits information on the global Internet has become the trend of educational development in the coming years; however, it still has some drawbacks and shortcomings. This article focuses on how to apply Multi-Agent technology in distance learning systems. The systems are supposed to teach students individualized according to their personality characteristics and cognitive abilities by establishing Student Agent and Teacher Agent, thus, to improve the intelligence and personalization of distance education system, in order to fully tap the potential of learners and improve teaching effectiveness and learning efficiency.",2010,S. S. Manvi and P. Venkataram.,0
Computer vision in the interface,"In this paper, we present a promising approach to systematically testing graphical user interfaces (GUI) in a platform independent manner. Our framework uses standard computer vision techniques through a python-based scripting language (Sikuli script) to identify key graphical elements in the screen and automatically interact with these elements by simulating keypresses and pointer clicks. The sequence of inputs and outputs resulting from the interaction is analyzed using grammatical inference techniques that can infer the likely internal states and transitions of the GUI based on the observations. Our framework handles a wide variety of user interfaces ranging from traditional pull down menus to interfaces built for mobile platforms such as Android and iOS. Furthermore, the automaton inferred by our approach can be used to check for potentially harmful patterns in the interface's internal state machine such as design inconsistencies (eg,. a keypress does not have the intended effect) and mode confusion that can make the interface hard to use. We describe an implementation of the framework and demonstrate its working on a variety of interfaces including the user-interface of a safety critical insulin infusion pump that is commonly used by type-1 diabetic patients.",2013,Matthew Turk,0
Determining the impact of software engineering research on practice.,"The impact project provides a solid and scholarly assessment of the impact software engineering research has had on software engineering practice. The assessment takes the form of a series of studies and briefings, each involving literature searches and, where possible, personal interviews.",2008,"L. J. Osterweil, C. Ghezzi, J. Kramer, A. L. Wolf, B. Ryder, M. L. Soffa, J. Estublier, D. Rombach, M. Ciolkowski, W. Emmerich, M. Aoyama, L. A. Clarke, and D. S. Rosenblum.",0
Development of integrated quality information system for continuous improvement,"Based on the extensive literature review and the philosophy of integration of quality tools, the paper develops integrated quality information system (IQIS) software, and applies it to a manufacturing company. The software integrates the quality tools as well as the process quality information. It provides guidance for locating bottleneck process through integrated data analysis and also supports six sigma process improvement. The result shows that the application of IQIS can optimize the process of design and manufacturing, shorten the cycle time of product, reduce the cost, and realize quality improvement continuously",2006,"He, Z., Cui, Q., He, S.",0
Digital Human Modeling for Product Lifecycle Management,The paper presents a new methodology for displaying the user's functional demands and evaluating product design for older people. Digital design models are integrated with virtual users (digital human models) generated in Jack software and refined from 3D body scanning data. The real interaction between physical design prototypes and potential users are captured by a 3D motion capture system. The captured motion is imposed onto the virtual human in Jack to perform design task analysis graphically.,2009,H. Onan Demirel and Vincent G. Duffy,0
Eliciting Requirements by Analysing Threats Caused by Users,"Eliciting requirements is an important issue of system development projects. Some approaches propose to identify requirements by analysing system malfunctioning. Different sources of malfunctioning are dealt with by these approaches: obstacles, conflicts, risks, etc. Our proposal is to analyse each of these sources of malfunctioning using a single notion that we call ""threat"". We propose to use this notion in a method that guides the identification and analysing of each of these sources of malfunctioning. The method helps eliciting requirements to prevent the threat. A threat is defined by a number of variables. This paper presents a literature review of all threats that relate to users. The review is based on a framework that includes several perspectives to analyse user error. The user threats is part of a global threats classification that also covers hardware, environment, design and project types of threats.",2005,"By Elena Ivankina , Camille Salinesi",0
Empirical study of the effects of open source adoption on software development economics,"In this paper, we present the results of empirical study of the effects of open source software (OSS) components reuse on software development economics. Specifically, we examined three economic factors - cost, productivity, and quality. This study started with an extensive literature review followed by an exploratory study conducted through interviews with 18 senior project/quality managers, and senior software developers. Then, the result of the literature review and the exploratory study was used to formulate research model, hypotheses, and survey questionnaire. Software intensive companies from Canada and the US were targeted for this study. The period of study was between September 2004 and March 2006. Our findings show that there are strong significant statistical correlations between the factors of OSS components reuse and software development economics. The conclusion from this study shows that software organizations can achieve some economic gains in terms of software development productivity and product quality if they implement OSS components reuse adoption in a systematic way. A big lesson learned in this study is that OSS components are of highest quality and that open source community is not setting a bad example (contrary to some opinion) so far as 'good practices' are concerned.",2007,"Samuel A. Ajila, Di Wu",0
Evolving Conditional Value Sets of Cost Factors for Estimating Software Development Effort,"The software cost estimation process is one of the most critical managerial activities related to project planning, resource allocation and control. As software development is a highly dynamic procedure, the difficulty of providing accurate cost estimations tends to increase with development complexity. The inherent problems of the estimation process stem from its dependence on several complex variables, whose values are often imprecise, unknown, or incomplete, and their interrelationships are not easy to comprehend. Current software cost estimation models do not inspire enough confidence and accuracy with their predictions. This is mainly due to the models' sensitivity to project data values, and this problem is amplified because of the vast variances found in historical project attribute data. This paper aspires to provide a framework for evolving value ranges for cost attributes and attaining mean effort values using the Al-oriented problem-solving approach of genetic algorithms, with a twofold aim. Firstly, to provide effort estimations by analogy to the projects classified in the evolved ranges and secondly, to identify any present correlations between effort and cost attributes.",2007,"By Andreas S. Andreou , Efi Papatheocharous , Christos Skouroumounis",0
Exploiting ?Interface Capabilities? in Overseas Markets: Lessons from Japanese Mobile Phone Handset Manufacturers in the US,,2006,Masanori Yasumoto and Takahiro Fujimoto,0
Formalizing Informal Stakeholder Decisions--A Hybrid Method Approach,"Decisions are hard to make when available information is incomplete, inconsistent, and ambiguous. Moreover, good-sufficiently complete, consistent, traceable, and testable-requirements are a prerequisite for successful projects. Without understanding what the stakeholders really want and need and writing these requirements in a concise, understandable and testable manner, projects will not develop what the stakeholders wanted leading to either major late rework or project termination. During the development of the WinWin negotiation model and the EasyWinWin requirements negotiation method, we have gained considerable experience in capturing decisions made by stakeholders in over 100 projects. However, the transition from informal decisions to requirements specification is still a challenging problem. Based on our analysis of the projects to date, we have developed an integrated set of gap-bridging methods as a hybrid method to support stakeholders making better decisions in order to eliminate requirements related problems and ease the process of formality transition",2007,"By Hasan Kitapci , Barry W. Boehm",0
General principles of construction of knowledge computer systems,"Steep development of computer systems has created a great variety of important technical and scientific problems: for development of an architecture of algorithms, control circuits for access to common resources, and computing structures and distributed database structures. In this paper, the principles of parallelism for the construction of multilevel distributed computer networks are given.",2003,Yu. V. Kapitonova,0
Higher Order Pheromone Models in Ant Colony Optimisation,"As a meta-heuristic approach, Ant colony optimization (ACO) has many applications. In the algorithm selection of pheromone models is the top priority. Selecting pheromone models that don't suffer negative biases is a natural choice. Specifically for the travelling salesman problem, the first order pheromone is widely recognized.When come across travelling salesman problem, we study the reasons for the success of ant colony optimization from the perspective of pheromone models,and unify different order pheromone models. In tests, we have introduced the concept of sample locations and the similarity coefficient to pheromone models. The first order pheromone model and the second order pheromone model are compared and are further analysed. We illustrate that the second order pheromone model has better global search ability and diversity of population than the former. With appropriate-scale travelling salesman problems, the second order model performs better than the first order pheromone model.",2017,James Montgomery,0
How influential is Brooks' Law? A longitudinal citation context analysis of Frederick Brooks' The Mythical Man-Month,"<p>Citation context analysis is used to demonstrate the diversity of concept symbols that a book-length publication can represent and the diffusion of influence of these concepts over time and across scholarly disciplines. A content analysis of 574 citation contexts from 497 journal articles citing an edition of Frederick P. Brooks, Jr's <bi>The Mythical Man-Month (MMM)</bi> over the period 1975-1999 showed that <bi>MMM</bi> represents a variety of different concepts and is cited in a wide range of subject areas. Over time, a high level of interest in <bi>MMM</bi> spread from software engineering and computer science to management and information systems, with different areas showing different patterns of focus on concepts within the work. 'Brooks' Law' (the 'mythical man-month' or 'adding more people to a late project makes it later'), accounted for less than 30% of the classified citation contexts. The findings contribute to our understanding of the diffusion of ideas in scholarly communication, and the diversity that can underlie the creation of a reference in a scholarly publication.</p>",2006,"Katherine W. McCain, Laura J. Salvucci",0
Immune System Approaches to Intrusion Detection ? A Review,"The Battery-Sensing Intrusion Protection System (B-SIPS) [1] initially took a non-conventional approach to intrusion detection by recognizing attacks based on anomalous Instantaneous Current (IC) drain. An extension of B-SIPS, the Multi-Vector Portable Intrusion Detection System (MVP-IDS) validates the idea of recognizing attacks based on anomalous IC drain by correlating the detected anomalies with wireless attack traffic from both the Wi-Fi and Bluetooth mediums. To effectively monitor the Wi-Fi and Bluetooth mediums for malicious packet streams, the Snort-Based Wi-Fi and Bluetooth Attack Detection and Signature System (BADSS) modules were introduced. This paper illustrates how a blended strategy of using a low overhead tripwire can be combined with more sophisticated detection mechanisms to provide an effective protection system for limited resource wireless information technology devices.",2010,"Uwe Aickelin, Julie Greensmith and Jamie Twycross",0
In-house software development: What project management practices lead to success?,"Project management is an important part of software development, both for organizations that rely on third-party software development and for those whose software is developed primarily in-house. Moreover, quantitative survey-based research regarding software development's early, nontechnical aspects is lacking. To help provide a project management perspective for managers responsible for in-house software development, we conducted a survey in an attempt to determine the factors that lead to successful projects. We chose a survey because of its simplicity and because we hoped to find relationships among variables. Also, a survey let us cover more projects at a lower cost than would an equivalent number of interviews or a series of case studies. Our results provide general guidance for business and project managers to help ensure that their projects succeed.",2005,J. M. Verner and W. M. Evanco.,0
Mathematical Methods for Shape Analysis and form Comparison in 3D Anthropometry: A Literature Review,"<p>Form comparison is a fundamental part of many anthropometric, biological, anthropological, archaeological and botanical researches, etc. In traditional anthropometric form comparison methods, geometry characteristics and internal structure of surface points are not adequately considered. Form comparison of 3D anthropometric data can make up the deficiency of traditional methods. In this paper, methods for analyzing 3D other than 2D objects are highlighted. We summarize the advance of form comparison techniques in the last decades. According to whether they are based upon anatomical landmarks, we partition them into two main categories, landmark-based methods and landmark-free methods. The former methods are further sub-divided into deformation methods, superimposition methods, and methods based on linear distances, while the latter methods are sub-divided into shape statistics-based methods, methods based on function analysis, view-based methods, topology-based methods, and hybrid methods. Examples for each method are presented. The discussion about their advantages and disadvantages are also introduced.</p>",2007,"Jianwei Niu, Zhizhong Li and Gavriel Salvendy",0
Microformats: The Next (Small) Thing on the Semantic Web?,"Clever application of existing XHTML elements and class attributes can make it easier to describe people, places, events, and other semistructured information in human-readable form. In this paper, the author takes a more detailed look at some examples of microformats, the general principles by which they can be constructed, and how a community of users is forming around these seemingly ad hoc specifications to advance the cause of what some call an alternative to the semantic Web, the ""lowercase semantic Web"".",2006,By Rohit Khare,0
Mobrex: Visualizing Users' Mobile Browsing Behaviors,"This paper deals with the Mobile Browsing Explorer (Mobrex) to give analysts a set of interactive visualizations that highlight various aspects of how users browse an information space. Here, we describe the tool and demonstrate its support of a user study of three browsing techniques for mobile maps. Although we mainly focus here on PDAs and mobile map browsing, Mobrex can easily support analysts studying user interaction with other information spaces and other devices, including mobile phones and desktop computers.",2008,"By Stefano Burigat , Luca Chittaro , Lucio Ieronutti",0
Never the CS and IS Twain Shall Meet?,"An enormous intellectual distance exists between the fields of computer science and information systems, which needs to be fixed soon.",2005,By Robert L. Glass,0
On the adaptation of Grounded Theory procedures: Insights from the evolution of the 2G method,"Purpose
? To articulate the interpretations and adaptations of Grounded Theory made within the 2G method, and the motivations behind them.

Design/methodology/approach
? Literature review and conceptual approach reflecting on the authors' experience of having developed the 2G method.

Findings
? Identifies six adaptations of Grounded Theory as being of particular interest. Five relate to method procedures, namely: developing a core category; coding interview data; exposing evolving theories to stakeholders; developing multiple concept frameworks; and inter?linking concepts. The sixth relates to expectations on method users, and the tension between expertise relating to the phenomenon being analysed, and openness in interpreting the data.

Research limitations/implications
? Shows how Grounded Theory procedures have been adapted and used in IS methods. Specifically, the paper illustrates and makes explicit how a specific method (the 2G method) has evolved.

Practical implications
? Provides insights for users of Grounded Theory (GT) and developers of IS methods on how GT procedures have been interpreted and adapted in previous and the authors' own research.

Originality/value
? Provides insights into how Grounded Theory (GT) procedures have been adapted for use in other IS methods, with insights from the authors' own experience of having developed the 2G method. Reflects on the use of GT procedures in a number of case studies related to tool evaluation. Identifies six areas in which specific interpretations or adaptations of GT were considered necessary in the contexts in which the studies were undertaken, and justifies these six departures from standard interpretations of GT procedures.",2005,"Lings, B.a , Lundell, B.b",0
Open Source Software in Industry,"Many of today's most innovative products and solutions are developed on the basis of free and open source software (FOSS). Most of us can no longer imagine the world of software engineering without open source operating systems, databases, application servers, Web servers, frameworks, and tools. Brands such as Linux, MySQL, Apache, and Eclipse have shaped product and service development. They facilitate competition and open markets as well as innovation to meet new challenges. De facto FOSS standards such as Eclipse and Corba simplify the integration of products, whether they're all from one company or from multiple suppliers. IEEE Software has assembled this theme section to provide a brief yet practical overview of where FOSS is heading.",2008,By Christof Ebert,0
Practical Guidelines for Expert-Judgment-Based Software Effort Estimation,"This article presents seven guidelines for producing realistic software development effort estimates. The guidelines derive from industrial experience and empirical studies. While many other guidelines exist for software effort estimation, these guidelines differ from them in three ways: 1) They base estimates on expert judgments rather than models. 2) They are easy to implement. 3) They use the most recent findings regarding judgment-based effort estimation. Estimating effort on the basis of expert judgment is the most common approach today, and the decision to use such processes instead of formal estimation models shouldn't be surprising. Simple process changes such as reframing questions can lead to more realistic estimates of software development efforts.",2005,By Magne Jorgensen,0
Predicting Bugs from History,"The author gives an indication of the accuracy attainable with RF numerical methods in the prediction of those quantities which depend upon the near-field of radiating structures. A wire-mesh RF mathematical model of a medium size airliner is described. Using this model, and with NEC as the solution code, predictions are presented of the terminal reactance of an installed `long-wire' HF antenna. These represent true predictions rather than `post-dictions' because the RF mathematical model does not incorporate any empirically derived information. The difficulties involved in obtaining the corroborative measurements are examined and direct comparison with the predictions is made. The particular antenna configuration chosen for this study is considered to constitute a stringent test of the predictions. The agreement between calculation and subsequent measurement is fair",1991,"Thomas Zimmermann, Nachiappan Nagappan and Andreas Zeller",0
Project Management within Virtual Software Teams,"When implementing software development in a global environment, a popular strategy is the establishment of virtual teams. The objective of this paper is to examine the effective project management of this type of team. In the virtual team environment problems arise due to the collaborative nature of software development and the impact distance introduces. Distance specifically impacts coordination, visibility, communication and cooperation within a virtual team. In these circumstances the project management of a virtual team must be carried out in a different manner to that of a team in a single-site location. Results from this research highlighted six specific project management related areas that need to be addressed to facilitate successful virtual team operation. Organizational structure, risk management, infrastructure, process, conflict management and team structure and organization. Additional related areas are the sustained support of senior management and the provision of effective infrastructure",2006,"By Valentine Casey , Ita Richardson",0
Protocols in the use of empirical software engineering artifacts,"Ethnography is a powerful qualitative empirical approach which can be used to understand and hence improve work practice. Ethnographically-informed methods are widely adopted in the Social Sciences but are not so popular with software engineering researchers. As with many inter-disciplinary approaches, ethnographic methods can be misunderstood and misapplied, leading to results being dismissed with a &#x201C;so what?&#x201D; response. Drawing on my own and other's experience of applying this approach in empirical studies of software practice, I will provide an overview of the role of ethnography in Software Engineering research. I will describe the use of ethnographic methods as a means to provide an in-depth understanding of the socio-technological realities surrounding everyday software development practice. The knowledge gained can be used to understand developers' work practices, to inform the development of new processes, methods and tools, and to evaluate and evolve existing practices.",2012,"Victor R. Basili, Marvin V. Zelkowitz, Dag I. K. Sj?berg, Philip Johnson and Anthony J. Cowling",0
"Software engineering: The past, the future, and your TCSE.","Although it has seen some spectacular successes, the software engineering field still has room for improvement. The Technical Council on Software Engineering is committed to advancing the development, application, and adoption of software engineering.",2005,K. Read.,0
